,tweets,len,ID,Date,Source,Likes,RTs
3061,"Delighted to meet our host for this year's BRICS Summit, President @CyrilRamaphosa. @PresidencyZA https://t.co/IdbI09GAJN",121,1.02246E+18,26-07-18 12:53,Twitter Web Client,8282,1544
3062,"India will always remember with pride, the outstanding political leadership provided by Atal Ji during Operation Vi… https://t.co/75SbxRhBXw",140,1.02234E+18,26-07-18 4:43,Twitter for iPhone,26029,6145
3063,"On #KargilVijayDiwas, a grateful nation pays homage to all those who served the nation during Operation Vijay. Our… https://t.co/aR59wCyWGZ",139,1.02234E+18,26-07-18 4:41,Twitter for iPhone,32526,8050
3064,Ten principles that will guide India’s engagement with Africa in the 21st century. https://t.co/Ml4LIHWLWe,106,1.02216E+18,25-07-18 16:49,Twitter Media Studio,12669,2593
3065,"In addition to progress and prosperity, India and Africa are united in their commitment towards peace.

Several Ind… https://t.co/MubjtXbLMC",140,1.02216E+18,25-07-18 16:49,Twitter Media Studio,8774,2044
3066,India is proud to be Africa’s partner and work with several African nations in their quest for progress and prosper… https://t.co/ygT83Nigry,140,1.02216E+18,25-07-18 16:48,Twitter Media Studio,10325,2141
3067,"The story of India’s freedom struggle is closely linked to Africa. 

The leaders of our freedom movement were extre… https://t.co/4SbRJjf9mw",140,1.02216E+18,25-07-18 16:47,Twitter Media Studio,10245,2444
3068,Congratulations to Rashtrapati Ramnath Kovind Ji on completing 1 year in office. He’s endeared himself to every Ind… https://t.co/51OwcnNu08,140,1.02206E+18,25-07-18 10:00,Twitter Web Client,21823,3954
3069,My visit to Uganda has been productive. I express gratitude towards President @KagutaMuseveni and the people of Uga… https://t.co/GloIGKtP5v,140,1.02206E+18,25-07-18 9:58,Twitter Web Client,10047,2090
3070,Addressing the Parliament of Uganda. Watch my speech. https://t.co/EON36W70Rj,77,1.02204E+18,25-07-18 8:25,Periscope,10265,2520
3071,Birthday wishes to Union Minister @HarsimratBadal_ Ji. She is working tirelessly towards making India a hub for foo… https://t.co/U7oUg7tgri,140,1.02197E+18,25-07-18 4:15,Twitter Web Client,12688,2158
3072,The community programme in Kampala was full of vibrancy and enthusiasm. Spoke about the deep rooted ties between In… https://t.co/0REICIJGX0,140,1.02184E+18,24-07-18 19:44,Twitter Web Client,10408,2377
3073,Looking forward to addressing the Indian community in a short while at a programme in Kampala. You can watch the sp… https://t.co/vUlG4FwdqN,140,1.0218E+18,24-07-18 16:34,Twitter for iPhone,17139,3118
3074,"The focus of the talks with President @KagutaMuseveni included sectors such as defence, innovation, investment  and… https://t.co/PYRWuqse0A",140,1.02178E+18,24-07-18 15:49,Twitter for iPhone,14784,2733
